rev,phase,step,op_ok,talking,talk_sa,respq,txq,tx_head,open_talk15,status
1541,baseline,0,1,0,255,0,0,-1,0,00,OK,00,00
1541,seed_response,1,1,0,255,3,0,-1,0,00,OK,00,00
1541,talk_cmd,2,1,1,255,3,0,-1,0,00,OK,00,00
1541,talk_sa15_response,3,1,1,15,0,4,65,1,00,OK,00,00
1541,close15_a,4,1,1,15,0,4,65,0,00,OK,00,00
1541,talk_sa15_status_fallback,5,1,1,15,0,12,48,1,00,OK,00,00
1541,untalk,6,1,0,255,0,12,48,1,00,OK,00,00
1541,talk_sa15_after_untalk,7,0,0,255,0,12,48,1,00,OK,00,00
1541C,baseline,0,1,0,255,0,0,-1,0,00,OK,00,00
1541C,seed_response,1,1,0,255,3,0,-1,0,00,OK,00,00
1541C,talk_cmd,2,1,1,255,3,0,-1,0,00,OK,00,00
1541C,talk_sa15_response,3,1,1,15,0,4,65,1,00,OK,00,00
1541C,close15_a,4,1,1,15,0,4,65,0,00,OK,00,00
1541C,talk_sa15_status_fallback,5,1,1,15,0,12,48,1,00,OK,00,00
1541C,untalk,6,1,0,255,0,12,48,1,00,OK,00,00
1541C,talk_sa15_after_untalk,7,0,0,255,0,12,48,1,00,OK,00,00
1541II,baseline,0,1,0,255,0,0,-1,0,00,OK,00,00
1541II,seed_response,1,1,0,255,3,0,-1,0,00,OK,00,00
1541II,talk_cmd,2,1,1,255,3,0,-1,0,00,OK,00,00
1541II,talk_sa15_response,3,1,1,15,0,4,65,1,00,OK,00,00
1541II,close15_a,4,1,1,15,0,4,65,0,00,OK,00,00
1541II,talk_sa15_status_fallback,5,1,1,15,0,12,48,1,00,OK,00,00
1541II,untalk,6,1,0,255,0,12,48,1,00,OK,00,00
1541II,talk_sa15_after_untalk,7,0,0,255,0,12,48,1,00,OK,00,00
