rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541,track_layout,149,18,2,1,1,0,0,1,0,0,22,0,0,10,654
1541,track_layout,152,18,2,2,0,1,1,1,0,0,22,0,0,10,654
1541,track_layout,156,18,2,3,0,1,1,1,0,0,22,0,0,11,653
1541,track_layout,159,18,2,4,0,1,1,2,1,1,22,0,0,11,653
1541,track_layout,162,18,2,5,0,1,1,2,0,0,22,0,0,11,653
1541,track_layout,166,18,2,6,0,2,2,3,0,0,22,0,0,11,653
1541,track_layout,169,18,2,7,0,2,2,3,0,0,22,0,0,11,653
1541,track_layout,173,18,3,0,1,0,0,1,0,0,23,0,0,11,653
1541,track_layout,176,18,3,1,1,0,0,1,0,0,24,0,0,11,653
1541,track_layout,179,18,3,2,0,1,1,1,0,0,24,0,0,11,653
1541,track_layout,183,18,3,3,0,1,1,1,0,0,24,0,0,12,652
1541,track_layout,186,18,3,4,0,1,1,2,1,1,24,0,0,12,652
1541,track_layout,189,18,3,5,0,1,1,2,0,0,24,0,0,12,652
1541,track_layout,193,18,3,6,0,2,2,3,0,0,24,0,0,12,652
1541,track_layout,196,18,3,7,0,2,2,3,0,0,24,0,0,12,652
1541,track_layout,200,18,4,0,1,0,0,1,0,0,25,0,0,12,652
1541,track_layout,203,18,4,1,1,0,0,1,0,0,26,0,0,12,652
1541,track_layout,206,18,4,2,0,1,1,1,0,0,26,0,0,12,652
1541,track_layout,210,18,4,3,0,1,1,1,0,0,26,0,0,13,651
1541,track_layout,213,18,4,4,0,1,1,2,1,1,26,0,0,13,651
1541,track_layout,216,18,4,5,0,1,1,2,0,0,26,0,0,13,651
1541,track_layout,220,18,4,6,0,2,2,3,0,0,26,0,0,13,651
1541,track_layout,223,18,4,7,0,2,2,3,0,0,26,0,0,13,651
1541,track_layout,227,18,5,0,1,0,0,1,0,0,27,0,0,13,651
1541,track_layout,230,18,5,1,1,0,0,1,0,0,28,0,0,13,651
1541,track_layout,233,18,5,2,0,1,1,1,0,0,28,0,0,13,651
1541,track_layout,237,18,5,3,0,1,1,1,0,0,28,0,0,14,650
1541,track_layout,240,18,5,4,0,1,1,2,1,1,28,0,0,14,650
1541,track_layout,243,18,5,5,0,1,1,2,0,0,28,0,0,14,650
1541,track_layout,247,18,5,6,0,2,2,3,0,0,28,0,0,14,650
1541,track_layout,250,18,5,7,0,2,2,3,0,0,28,0,0,14,650
1541,track_layout,254,18,6,0,1,0,0,1,0,0,29,0,0,14,650
1541,track_layout,257,18,6,1,1,0,0,1,0,0,30,0,0,14,650
1541,track_layout,260,18,6,2,0,1,1,1,0,0,30,0,0,14,650
1541,track_layout,264,18,6,3,0,1,1,1,0,0,30,0,0,15,649
1541,track_layout,267,18,6,4,0,1,1,2,1,1,30,0,0,15,649
1541,track_layout,270,18,6,5,0,1,1,2,0,0,30,0,0,15,649
1541,track_layout,274,18,6,6,0,2,2,3,0,0,30,0,0,15,649
1541,track_layout,277,18,6,7,0,2,2,3,0,0,30,0,0,15,649
1541,track_layout,281,18,7,0,1,0,0,1,0,0,31,0,0,15,649
1541,track_layout,284,18,7,1,1,0,0,1,0,0,32,0,0,15,649
1541,track_layout,287,18,7,2,0,1,1,1,0,0,32,0,0,15,649
