rev,phase,step,op_ok,talking,talk_sa,txq_size,tx_head,status
1541,baseline,0,1,0,255,0,-1,00,OK,00,00
1541,talk_cmd,1,1,1,255,0,-1,00,OK,00,00
1541,talk_sa15_status00,2,1,1,15,12,48,00,OK,00,00
1541,talk_sa15_status74,3,1,1,15,25,55,74,DRIVE NOT READY,00,00
1541,talk_sa15_status30,4,1,1,15,22,51,30,SYNTAX ERROR,00,00
1541,untalk,5,1,0,255,22,51,30,SYNTAX ERROR,00,00
1541,talk_sa15_after_untalk,6,0,0,255,22,51,30,SYNTAX ERROR,00,00
1541C,baseline,0,1,0,255,0,-1,00,OK,00,00
1541C,talk_cmd,1,1,1,255,0,-1,00,OK,00,00
1541C,talk_sa15_status00,2,1,1,15,12,48,00,OK,00,00
1541C,talk_sa15_status74,3,1,1,15,25,55,74,DRIVE NOT READY,00,00
1541C,talk_sa15_status30,4,1,1,15,22,51,30,SYNTAX ERROR,00,00
1541C,untalk,5,1,0,255,22,51,30,SYNTAX ERROR,00,00
1541C,talk_sa15_after_untalk,6,0,0,255,22,51,30,SYNTAX ERROR,00,00
1541II,baseline,0,1,0,255,0,-1,00,OK,00,00
1541II,talk_cmd,1,1,1,255,0,-1,00,OK,00,00
1541II,talk_sa15_status00,2,1,1,15,12,48,00,OK,00,00
1541II,talk_sa15_status74,3,1,1,15,25,55,74,DRIVE NOT READY,00,00
1541II,talk_sa15_status30,4,1,1,15,22,51,30,SYNTAX ERROR,00,00
1541II,untalk,5,1,0,255,22,51,30,SYNTAX ERROR,00,00
1541II,talk_sa15_after_untalk,6,0,0,255,22,51,30,SYNTAX ERROR,00,00
