rev,phase,step,cycles,host_atn,host_clk,host_data,drive_pull_clk,drive_pull_data,clk_contention,data_contention,any_contention,ownership,release_latency,illegal_overlap,contention_rows,pending_rx,pending_tx,rx_processed,tx_served,iec_state
1541,contention,56,57,1,1,0,0,1,0,1,1,3,-1,0,21,0,70,5,2,3
1541,contention,57,58,1,1,0,0,1,0,1,1,3,-1,0,22,0,70,5,2,3
1541,contention,58,59,1,1,0,0,1,0,1,1,3,-1,0,23,0,70,5,2,3
1541,contention,59,60,0,0,1,0,1,0,0,0,2,-1,0,23,0,70,5,2,1
1541,contention,60,61,1,0,1,0,0,0,0,0,1,0,0,23,0,70,5,2,3
1541,contention,61,62,1,1,1,1,1,0,0,0,2,0,0,23,0,70,5,2,3
1541,contention,62,63,0,1,1,1,1,0,0,0,2,0,0,23,0,70,7,2,1
1541,contention,63,64,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541,contention,64,65,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541,contention,65,66,0,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541,contention,66,67,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541,contention,67,68,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541,contention,68,69,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541,contention,69,70,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541,contention,70,71,0,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541,contention,71,72,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541,contention,72,73,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541,contention,73,74,1,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,2
1541,contention,74,75,1,0,0,1,1,1,1,1,3,0,0,24,0,70,7,2,2
1541,contention,75,76,1,1,0,1,1,0,1,1,3,0,0,25,0,70,7,2,2
1541,contention,76,77,1,1,0,1,1,0,1,1,3,0,0,26,0,70,7,2,2
1541,contention,77,78,1,1,1,1,1,0,0,0,2,0,0,26,0,70,7,2,2
1541,contention,78,79,1,1,1,1,1,0,0,0,2,0,0,26,0,70,7,2,0
1541,contention,79,80,0,1,1,0,0,0,0,0,0,0,0,26,0,70,7,2,1
1541,contention,80,81,1,0,1,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541,contention,81,82,1,0,1,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541,contention,82,83,1,1,1,0,0,0,0,0,0,0,0,26,0,70,7,2,0
1541,contention,83,84,1,1,0,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541,contention,84,85,1,1,0,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541,contention,85,86,1,1,0,1,1,0,1,1,3,0,0,27,0,70,7,2,0
1541,contention,86,87,1,1,1,1,1,0,0,0,2,0,0,27,0,70,7,2,0
1541,contention,87,88,1,0,1,1,1,1,0,1,3,0,0,28,0,70,7,2,0
1541,contention,88,89,1,0,1,1,1,1,0,1,3,0,0,29,0,70,7,2,0
1541,contention,89,90,0,1,1,1,1,0,0,0,2,0,0,29,0,70,7,2,1
1541,contention,90,91,1,1,1,0,0,0,0,0,0,0,0,29,0,70,7,2,0
1541,contention,91,92,1,1,1,0,0,0,0,0,0,0,0,29,0,70,7,2,0
1541,contention,92,93,1,1,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541,contention,93,94,1,1,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541,contention,94,95,1,0,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541,contention,95,96,1,0,1,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541C,contention,0,1,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
1541C,contention,1,2,1,1,1,1,1,0,0,0,2,-1,0,0,0,0,0,0,0
1541C,contention,2,3,1,1,0,1,1,0,1,1,3,-1,0,1,0,0,0,0,0
1541C,contention,3,4,1,0,0,1,1,1,1,1,3,-1,0,2,0,0,0,0,0
1541C,contention,4,5,1,0,0,1,1,1,1,1,3,-1,0,3,0,0,0,0,0
1541C,contention,5,6,1,1,1,1,1,0,0,0,2,-1,0,3,0,0,0,0,0
1541C,contention,6,7,1,1,1,1,1,0,0,0,2,-1,0,3,0,0,0,0,0
1541C,contention,7,8,1,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,0
1541C,contention,8,9,1,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,0
1541C,contention,9,10,0,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,1
1541C,contention,10,11,1,0,1,0,0,0,0,0,1,-1,0,3,0,0,0,0,0
1541C,contention,11,12,1,0,0,0,0,0,0,0,1,-1,0,3,0,0,0,0,0
1541C,contention,12,13,1,1,0,0,0,0,0,0,1,-1,0,3,1,0,4,0,2
1541C,contention,13,14,1,1,0,1,1,0,1,1,3,-1,0,4,0,67,5,0,0
1541C,contention,14,15,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541C,contention,15,16,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541C,contention,16,17,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541C,contention,17,18,1,0,1,1,1,1,0,1,3,-1,0,5,0,67,5,0,0
1541C,contention,18,19,1,0,1,1,1,1,0,1,3,-1,0,6,0,67,5,0,0
1541C,contention,19,20,0,1,1,0,0,0,0,0,0,-1,0,6,0,67,5,0,1
1541C,contention,20,21,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541C,contention,21,22,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541C,contention,22,23,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541C,contention,23,24,1,1,1,0,0,0,0,0,0,-1,0,6,0,67,5,0,0
1541C,contention,24,25,1,0,1,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541C,contention,25,26,1,0,1,1,1,1,0,1,3,-1,0,7,0,67,5,0,0
1541C,contention,26,27,1,1,1,1,1,0,0,0,2,-1,0,7,0,72,5,0,3
1541C,contention,27,28,1,0,1,1,1,1,0,1,3,-1,0,8,0,72,5,0,3
1541C,contention,28,29,1,1,0,1,1,0,1,1,3,-1,0,9,0,72,5,0,3
1541C,contention,29,30,1,1,1,1,1,0,0,0,2,-1,0,9,0,72,5,0,3
1541C,contention,30,31,1,0,1,1,1,1,0,1,3,-1,0,10,0,72,5,0,3
1541C,contention,31,32,1,1,1,0,0,0,0,0,0,-1,0,10,0,72,5,0,3
1541C,contention,32,33,1,1,0,0,0,0,0,0,1,-1,0,10,0,72,5,0,3
1541C,contention,33,34,1,0,1,0,0,0,0,0,1,-1,0,10,0,71,5,1,3
1541C,contention,34,35,1,1,1,0,0,0,0,0,0,-1,0,10,0,71,5,1,3
1541C,contention,35,36,1,1,1,0,1,0,0,0,2,-1,0,10,0,71,5,1,3
1541C,contention,36,37,1,0,0,0,1,0,1,1,3,-1,0,11,0,71,5,1,3
1541C,contention,37,38,1,1,1,1,1,0,0,0,2,-1,0,11,0,71,5,1,3
1541C,contention,38,39,1,1,1,1,1,0,0,0,2,-1,0,11,0,71,5,1,3
1541C,contention,39,40,1,0,1,1,1,1,0,1,3,-1,0,12,0,71,5,1,3
1541C,contention,40,41,1,1,0,1,1,0,1,1,3,-1,0,13,0,71,5,1,3
1541C,contention,41,42,1,1,1,1,1,0,0,0,2,-1,0,13,0,71,5,1,3
1541C,contention,42,43,1,0,1,1,1,1,0,1,3,-1,0,14,0,71,5,1,3
1541C,contention,43,44,1,1,1,0,1,0,0,0,2,-1,0,14,0,71,5,1,3
1541C,contention,44,45,1,1,0,0,1,0,1,1,3,-1,0,15,0,71,5,1,3
1541C,contention,45,46,1,0,1,0,1,0,0,0,2,-1,0,15,0,71,5,1,3
1541C,contention,46,47,1,1,1,0,1,0,0,0,2,-1,0,15,0,71,5,1,3
1541C,contention,47,48,1,1,0,0,1,0,1,1,3,-1,0,16,0,71,5,1,3
1541C,contention,48,49,1,1,0,0,1,0,1,1,3,-1,0,17,0,71,5,1,3
1541C,contention,49,50,0,1,0,1,1,0,1,1,3,-1,0,18,0,71,5,1,1
1541C,contention,50,51,1,1,1,0,0,0,0,0,0,-1,0,18,0,71,5,1,3
1541C,contention,51,52,1,1,1,1,1,0,0,0,2,-1,0,18,0,70,5,2,3
1541C,contention,52,53,1,0,1,1,1,1,0,1,3,-1,0,19,0,70,5,2,3
1541C,contention,53,54,1,0,1,1,1,1,0,1,3,-1,0,20,0,70,5,2,3
1541C,contention,54,55,1,1,1,1,1,0,0,0,2,-1,0,20,0,70,5,2,3
1541C,contention,55,56,1,1,1,0,1,0,0,0,2,-1,0,20,0,70,5,2,3
1541C,contention,56,57,1,1,0,0,1,0,1,1,3,-1,0,21,0,70,5,2,3
1541C,contention,57,58,1,1,0,0,1,0,1,1,3,-1,0,22,0,70,5,2,3
1541C,contention,58,59,1,1,0,0,1,0,1,1,3,-1,0,23,0,70,5,2,3
1541C,contention,59,60,0,0,1,0,1,0,0,0,2,-1,0,23,0,70,5,2,1
1541C,contention,60,61,1,0,1,0,0,0,0,0,1,0,0,23,0,70,5,2,3
1541C,contention,61,62,1,1,1,1,1,0,0,0,2,0,0,23,0,70,5,2,3
1541C,contention,62,63,0,1,1,1,1,0,0,0,2,0,0,23,0,70,7,2,1
1541C,contention,63,64,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541C,contention,64,65,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541C,contention,65,66,0,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541C,contention,66,67,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541C,contention,67,68,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541C,contention,68,69,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541C,contention,69,70,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541C,contention,70,71,0,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541C,contention,71,72,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541C,contention,72,73,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541C,contention,73,74,1,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,2
1541C,contention,74,75,1,0,0,1,1,1,1,1,3,0,0,24,0,70,7,2,2
1541C,contention,75,76,1,1,0,1,1,0,1,1,3,0,0,25,0,70,7,2,2
1541C,contention,76,77,1,1,0,1,1,0,1,1,3,0,0,26,0,70,7,2,2
1541C,contention,77,78,1,1,1,1,1,0,0,0,2,0,0,26,0,70,7,2,2
1541C,contention,78,79,1,1,1,1,1,0,0,0,2,0,0,26,0,70,7,2,0
1541C,contention,79,80,0,1,1,0,0,0,0,0,0,0,0,26,0,70,7,2,1
1541C,contention,80,81,1,0,1,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541C,contention,81,82,1,0,1,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541C,contention,82,83,1,1,1,0,0,0,0,0,0,0,0,26,0,70,7,2,0
1541C,contention,83,84,1,1,0,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541C,contention,84,85,1,1,0,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541C,contention,85,86,1,1,0,1,1,0,1,1,3,0,0,27,0,70,7,2,0
1541C,contention,86,87,1,1,1,1,1,0,0,0,2,0,0,27,0,70,7,2,0
1541C,contention,87,88,1,0,1,1,1,1,0,1,3,0,0,28,0,70,7,2,0
1541C,contention,88,89,1,0,1,1,1,1,0,1,3,0,0,29,0,70,7,2,0
1541C,contention,89,90,0,1,1,1,1,0,0,0,2,0,0,29,0,70,7,2,1
1541C,contention,90,91,1,1,1,0,0,0,0,0,0,0,0,29,0,70,7,2,0
1541C,contention,91,92,1,1,1,0,0,0,0,0,0,0,0,29,0,70,7,2,0
1541C,contention,92,93,1,1,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541C,contention,93,94,1,1,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541C,contention,94,95,1,0,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541C,contention,95,96,1,0,1,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541II,contention,0,1,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
1541II,contention,1,2,1,1,1,1,1,0,0,0,2,-1,0,0,0,0,0,0,0
1541II,contention,2,3,1,1,0,1,1,0,1,1,3,-1,0,1,0,0,0,0,0
1541II,contention,3,4,1,0,0,1,1,1,1,1,3,-1,0,2,0,0,0,0,0
1541II,contention,4,5,1,0,0,1,1,1,1,1,3,-1,0,3,0,0,0,0,0
1541II,contention,5,6,1,1,1,1,1,0,0,0,2,-1,0,3,0,0,0,0,0
1541II,contention,6,7,1,1,1,1,1,0,0,0,2,-1,0,3,0,0,0,0,0
1541II,contention,7,8,1,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,0
1541II,contention,8,9,1,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,0
1541II,contention,9,10,0,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,1
1541II,contention,10,11,1,0,1,0,0,0,0,0,1,-1,0,3,0,0,0,0,0
1541II,contention,11,12,1,0,0,0,0,0,0,0,1,-1,0,3,0,0,0,0,0
1541II,contention,12,13,1,1,0,0,0,0,0,0,1,-1,0,3,1,0,4,0,2
1541II,contention,13,14,1,1,0,1,1,0,1,1,3,-1,0,4,0,67,5,0,0
1541II,contention,14,15,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541II,contention,15,16,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541II,contention,16,17,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541II,contention,17,18,1,0,1,1,1,1,0,1,3,-1,0,5,0,67,5,0,0
1541II,contention,18,19,1,0,1,1,1,1,0,1,3,-1,0,6,0,67,5,0,0
1541II,contention,19,20,0,1,1,0,0,0,0,0,0,-1,0,6,0,67,5,0,1
1541II,contention,20,21,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541II,contention,21,22,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541II,contention,22,23,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541II,contention,23,24,1,1,1,0,0,0,0,0,0,-1,0,6,0,67,5,0,0
1541II,contention,24,25,1,0,1,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541II,contention,25,26,1,0,1,1,1,1,0,1,3,-1,0,7,0,67,5,0,0
1541II,contention,26,27,1,1,1,1,1,0,0,0,2,-1,0,7,0,72,5,0,3
1541II,contention,27,28,1,0,1,1,1,1,0,1,3,-1,0,8,0,72,5,0,3
1541II,contention,28,29,1,1,0,1,1,0,1,1,3,-1,0,9,0,72,5,0,3
1541II,contention,29,30,1,1,1,1,1,0,0,0,2,-1,0,9,0,72,5,0,3
1541II,contention,30,31,1,0,1,1,1,1,0,1,3,-1,0,10,0,72,5,0,3
1541II,contention,31,32,1,1,1,0,0,0,0,0,0,-1,0,10,0,72,5,0,3
1541II,contention,32,33,1,1,0,0,0,0,0,0,1,-1,0,10,0,72,5,0,3
1541II,contention,33,34,1,0,1,0,0,0,0,0,1,-1,0,10,0,71,5,1,3
1541II,contention,34,35,1,1,1,0,0,0,0,0,0,-1,0,10,0,71,5,1,3
1541II,contention,35,36,1,1,1,0,1,0,0,0,2,-1,0,10,0,71,5,1,3
1541II,contention,36,37,1,0,0,0,1,0,1,1,3,-1,0,11,0,71,5,1,3
1541II,contention,37,38,1,1,1,1,1,0,0,0,2,-1,0,11,0,71,5,1,3
1541II,contention,38,39,1,1,1,1,1,0,0,0,2,-1,0,11,0,71,5,1,3
1541II,contention,39,40,1,0,1,1,1,1,0,1,3,-1,0,12,0,71,5,1,3
1541II,contention,40,41,1,1,0,1,1,0,1,1,3,-1,0,13,0,71,5,1,3
1541II,contention,41,42,1,1,1,1,1,0,0,0,2,-1,0,13,0,71,5,1,3
1541II,contention,42,43,1,0,1,1,1,1,0,1,3,-1,0,14,0,71,5,1,3
1541II,contention,43,44,1,1,1,0,1,0,0,0,2,-1,0,14,0,71,5,1,3
1541II,contention,44,45,1,1,0,0,1,0,1,1,3,-1,0,15,0,71,5,1,3
1541II,contention,45,46,1,0,1,0,1,0,0,0,2,-1,0,15,0,71,5,1,3
1541II,contention,46,47,1,1,1,0,1,0,0,0,2,-1,0,15,0,71,5,1,3
1541II,contention,47,48,1,1,0,0,1,0,1,1,3,-1,0,16,0,71,5,1,3
1541II,contention,48,49,1,1,0,0,1,0,1,1,3,-1,0,17,0,71,5,1,3
1541II,contention,49,50,0,1,0,1,1,0,1,1,3,-1,0,18,0,71,5,1,1
1541II,contention,50,51,1,1,1,0,0,0,0,0,0,-1,0,18,0,71,5,1,3
1541II,contention,51,52,1,1,1,1,1,0,0,0,2,-1,0,18,0,70,5,2,3
1541II,contention,52,53,1,0,1,1,1,1,0,1,3,-1,0,19,0,70,5,2,3
1541II,contention,53,54,1,0,1,1,1,1,0,1,3,-1,0,20,0,70,5,2,3
1541II,contention,54,55,1,1,1,1,1,0,0,0,2,-1,0,20,0,70,5,2,3
1541II,contention,55,56,1,1,1,0,1,0,0,0,2,-1,0,20,0,70,5,2,3
1541II,contention,56,57,1,1,0,0,1,0,1,1,3,-1,0,21,0,70,5,2,3
1541II,contention,57,58,1,1,0,0,1,0,1,1,3,-1,0,22,0,70,5,2,3
1541II,contention,58,59,1,1,0,0,1,0,1,1,3,-1,0,23,0,70,5,2,3
1541II,contention,59,60,0,0,1,0,1,0,0,0,2,-1,0,23,0,70,5,2,1
1541II,contention,60,61,1,0,1,0,0,0,0,0,1,0,0,23,0,70,5,2,3
1541II,contention,61,62,1,1,1,1,1,0,0,0,2,0,0,23,0,70,5,2,3
1541II,contention,62,63,0,1,1,1,1,0,0,0,2,0,0,23,0,70,7,2,1
1541II,contention,63,64,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541II,contention,64,65,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541II,contention,65,66,0,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541II,contention,66,67,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541II,contention,67,68,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541II,contention,68,69,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541II,contention,69,70,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541II,contention,70,71,0,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541II,contention,71,72,0,1,1,0,0,0,0,0,0,0,0,23,0,70,7,2,1
1541II,contention,72,73,0,1,0,0,0,0,0,0,1,0,0,23,0,70,7,2,1
1541II,contention,73,74,1,0,1,0,0,0,0,0,1,0,0,23,0,70,7,2,2
1541II,contention,74,75,1,0,0,1,1,1,1,1,3,0,0,24,0,70,7,2,2
1541II,contention,75,76,1,1,0,1,1,0,1,1,3,0,0,25,0,70,7,2,2
1541II,contention,76,77,1,1,0,1,1,0,1,1,3,0,0,26,0,70,7,2,2
1541II,contention,77,78,1,1,1,1,1,0,0,0,2,0,0,26,0,70,7,2,2
1541II,contention,78,79,1,1,1,1,1,0,0,0,2,0,0,26,0,70,7,2,0
1541II,contention,79,80,0,1,1,0,0,0,0,0,0,0,0,26,0,70,7,2,1
1541II,contention,80,81,1,0,1,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541II,contention,81,82,1,0,1,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541II,contention,82,83,1,1,1,0,0,0,0,0,0,0,0,26,0,70,7,2,0
1541II,contention,83,84,1,1,0,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541II,contention,84,85,1,1,0,0,0,0,0,0,1,0,0,26,0,70,7,2,0
1541II,contention,85,86,1,1,0,1,1,0,1,1,3,0,0,27,0,70,7,2,0
1541II,contention,86,87,1,1,1,1,1,0,0,0,2,0,0,27,0,70,7,2,0
1541II,contention,87,88,1,0,1,1,1,1,0,1,3,0,0,28,0,70,7,2,0
1541II,contention,88,89,1,0,1,1,1,1,0,1,3,0,0,29,0,70,7,2,0
1541II,contention,89,90,0,1,1,1,1,0,0,0,2,0,0,29,0,70,7,2,1
1541II,contention,90,91,1,1,1,0,0,0,0,0,0,0,0,29,0,70,7,2,0
1541II,contention,91,92,1,1,1,0,0,0,0,0,0,0,0,29,0,70,7,2,0
1541II,contention,92,93,1,1,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541II,contention,93,94,1,1,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541II,contention,94,95,1,0,0,0,0,0,0,0,1,0,0,29,0,70,7,2,0
1541II,contention,95,96,1,0,1,0,0,0,0,0,1,0,0,29,0,70,7,2,0
