rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via1_ifr,via2_ifr,via1_t1_irq,via2_sr_irq,iec_pull_clk,iec_pull_data,via1_t1_counter,via2_shift_bits,iec_state,eoi_pending,cadence_gap_max
1541C,integrated,26,27,8,49162,32,1,64,0,1,0,0,0,2,0,0,0,5
1541C,integrated,27,28,8,49162,32,0,64,0,1,0,0,0,1,0,1,0,5
1541C,integrated,28,29,8,49162,32,0,64,0,1,0,1,1,0,0,0,0,5
1541C,integrated,29,30,8,49162,32,0,64,0,1,0,1,1,5,0,0,0,5
1541C,integrated,30,31,8,49162,32,0,64,0,1,0,0,0,4,0,0,0,5
1541C,integrated,31,32,8,49162,32,0,64,0,1,0,0,0,3,0,0,0,5
1541C,integrated,32,33,9,49164,162,1,64,0,1,0,1,1,2,0,0,0,5
1541C,integrated,33,34,9,49164,162,0,64,0,1,0,1,1,1,0,0,0,5
1541C,integrated,34,35,10,49157,96,1,64,0,1,0,0,0,0,0,1,0,5
1541C,integrated,35,36,10,49157,96,0,64,0,1,0,0,0,5,0,0,0,5
1541II,integrated,0,1,1,49154,169,1,0,0,0,0,1,1,4,7,0,0,0
1541II,integrated,1,2,1,49154,169,0,0,0,0,0,1,1,3,6,0,0,0
1541II,integrated,2,3,2,49162,32,1,0,0,0,0,0,0,2,5,0,0,1
1541II,integrated,3,4,2,49162,32,0,0,0,0,0,0,0,1,4,0,0,1
1541II,integrated,4,5,2,49162,32,0,0,0,0,0,1,1,0,3,0,0,1
1541II,integrated,5,6,2,49162,32,0,64,0,1,0,1,1,5,2,0,0,1
1541II,integrated,6,7,2,49162,32,0,64,0,1,0,0,0,4,1,1,0,1
1541II,integrated,7,8,2,49162,32,0,64,4,1,1,0,0,3,0,0,0,1
1541II,integrated,8,9,3,49164,162,1,64,4,1,1,1,1,2,0,0,0,5
1541II,integrated,9,10,3,49164,162,0,64,4,1,1,1,1,1,0,0,0,5
1541II,integrated,10,11,4,49157,96,1,64,4,1,1,0,0,0,0,0,0,5
1541II,integrated,11,12,4,49157,96,0,64,4,1,1,0,0,5,0,0,0,5
1541II,integrated,12,13,4,49157,96,0,64,4,1,1,1,1,4,0,0,0,5
1541II,integrated,13,14,4,49157,96,0,64,4,1,1,0,0,3,0,1,0,5
1541II,integrated,14,15,4,49157,96,0,0,4,0,1,0,0,2,0,0,0,5
1541II,integrated,15,16,4,49157,96,0,0,4,0,1,0,0,1,0,0,0,5
1541II,integrated,16,17,5,49160,208,1,0,4,0,1,1,1,0,0,0,0,5
1541II,integrated,17,18,5,49160,208,0,64,4,1,1,1,1,5,0,0,0,5
