rev,phase,step,cycles,mode,atn,clk,data,pull_clk,pull_data,edge_slew_ticks,polarity_mismatch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541,signal,63,64,0,1,0,0,1,1,0,0,0,0,0,68,5,2,9,11
1541,signal,64,65,0,1,0,0,1,1,1,0,0,0,0,68,5,2,9,11
1541,signal,65,66,0,1,0,0,1,1,2,0,0,0,0,68,5,2,9,11
1541,signal,66,67,0,1,1,1,0,0,0,0,0,0,0,68,5,2,9,11
1541,signal,67,68,0,1,1,1,0,0,1,0,0,0,0,68,5,2,9,11
1541,signal,68,69,0,1,0,1,0,0,0,0,0,0,0,68,5,2,9,11
1541,signal,69,70,0,1,1,0,0,0,0,0,0,0,0,68,5,2,9,11
1541,signal,70,71,0,1,0,0,1,1,0,0,0,0,0,68,5,2,10,11
1541,signal,71,72,1,0,1,1,0,0,0,0,0,1,0,68,5,2,10,11
1541C,signal,0,1,0,1,0,0,1,1,0,0,-1,0,0,0,0,0,1,0
1541C,signal,1,2,0,1,0,0,1,1,1,0,-1,0,0,0,0,0,1,0
1541C,signal,2,3,0,1,0,0,1,1,2,0,-1,0,0,0,0,0,2,1
1541C,signal,3,4,0,1,0,0,0,0,3,0,-1,0,0,0,0,0,2,1
1541C,signal,4,5,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,2,1
1541C,signal,5,6,0,1,1,1,0,0,1,0,-1,0,0,0,0,0,2,1
1541C,signal,6,7,0,1,1,1,0,0,2,0,-1,0,0,0,0,0,2,1
1541C,signal,7,8,0,1,0,0,1,1,0,0,-1,0,0,0,0,0,2,1
1541C,signal,8,9,1,0,0,1,0,0,0,0,0,1,0,67,4,0,3,5
1541C,signal,9,10,0,1,0,0,1,1,0,0,0,0,0,67,4,0,3,5
1541C,signal,10,11,0,1,1,1,0,0,0,0,0,0,0,67,4,0,4,5
1541C,signal,11,12,0,1,1,1,0,0,1,0,0,0,0,67,4,0,4,5
1541C,signal,12,13,0,1,1,1,0,0,2,0,0,0,0,67,4,0,4,5
1541C,signal,13,14,0,1,0,1,0,0,0,0,0,0,0,67,4,0,4,5
1541C,signal,14,15,0,1,0,0,1,1,0,0,0,0,0,67,4,0,4,5
1541C,signal,15,16,0,1,0,0,1,1,1,0,0,0,0,67,4,0,4,5
1541C,signal,16,17,0,1,0,0,1,1,2,0,0,0,0,67,4,0,5,5
1541C,signal,17,18,1,0,1,1,0,0,0,0,0,1,0,67,4,0,5,5
1541C,signal,18,19,2,1,0,1,0,0,0,0,0,3,0,69,4,1,5,5
1541C,signal,19,20,2,1,1,0,0,1,0,0,0,3,0,69,4,1,5,5
1541C,signal,20,21,2,1,1,0,0,1,1,0,0,3,0,69,4,1,6,5
1541C,signal,21,22,2,1,0,0,1,1,0,1,0,3,0,69,4,1,6,5
1541C,signal,22,23,2,1,0,0,1,1,1,1,0,3,0,69,4,1,7,5
1541C,signal,23,24,2,1,0,0,1,1,2,1,0,3,0,69,4,1,7,5
1541C,signal,24,25,2,1,1,0,0,1,0,0,0,3,0,69,4,1,7,5
1541C,signal,25,26,2,1,1,0,0,1,1,0,0,3,0,69,4,1,7,5
1541C,signal,26,27,2,1,1,0,0,1,2,0,0,3,0,69,4,1,7,5
1541C,signal,27,28,2,1,1,0,0,1,3,0,0,3,0,69,4,1,7,5
1541C,signal,28,29,2,1,0,0,1,1,0,1,0,3,0,69,4,1,8,5
1541C,signal,29,30,2,1,0,0,1,1,1,1,0,3,0,69,4,1,8,5
1541C,signal,30,31,2,1,0,0,1,1,2,1,0,3,0,69,4,1,9,5
1541C,signal,31,32,2,1,1,0,0,1,0,0,0,3,0,69,4,1,9,5
1541C,signal,32,33,2,1,1,0,0,1,1,0,0,3,0,69,4,1,9,5
1541C,signal,33,34,2,1,0,0,0,1,0,0,0,3,0,69,4,1,9,5
1541C,signal,34,35,2,1,1,0,0,1,0,0,0,3,0,69,4,1,9,5
1541C,signal,35,36,2,0,1,1,0,0,0,0,0,1,0,69,4,1,9,5
1541C,signal,36,37,2,1,0,0,1,1,0,1,0,3,0,69,4,1,10,5
1541C,signal,37,38,2,1,0,0,1,1,1,1,0,3,0,69,4,1,10,5
1541C,signal,38,39,2,1,0,0,0,1,2,0,0,3,0,68,4,2,10,5
1541C,signal,39,40,2,1,1,0,0,1,0,0,0,3,0,68,4,2,10,5
1541C,signal,40,41,2,1,1,0,0,1,1,0,0,3,0,68,4,2,11,5
1541C,signal,41,42,2,1,1,0,0,1,2,0,0,3,0,68,4,2,11,5
1541C,signal,42,43,1,1,0,0,1,1,0,0,0,2,0,68,5,2,12,5
1541C,signal,43,44,1,1,0,0,1,1,1,0,0,2,0,68,5,2,12,5
1541C,signal,44,45,1,1,0,0,1,1,2,0,0,2,0,68,5,2,12,5
1541C,signal,45,46,1,1,1,0,0,0,0,0,0,2,0,68,5,2,12,5
1541C,signal,46,47,1,1,1,1,0,0,0,0,0,2,0,68,5,2,12,5
1541C,signal,47,48,1,1,1,1,0,0,1,0,0,2,0,68,5,2,12,5
1541C,signal,48,49,1,1,0,1,0,0,0,0,0,2,0,68,5,2,13,5
1541C,signal,49,50,1,1,0,0,1,1,0,0,0,2,0,68,5,2,13,5
1541C,signal,50,51,1,1,0,0,1,1,1,0,0,2,0,68,5,2,14,5
1541C,signal,51,52,1,1,0,0,1,1,2,0,0,2,0,68,5,2,14,5
1541C,signal,52,53,0,1,1,1,0,0,0,0,0,0,0,68,5,2,14,5
1541C,signal,53,54,1,0,0,1,0,0,0,0,0,1,0,68,5,2,14,5
1541C,signal,54,55,0,1,1,1,0,0,0,0,0,0,0,68,5,2,14,5
1541C,signal,55,56,0,1,1,1,0,0,1,0,0,0,0,68,5,2,14,5
1541C,signal,56,57,0,1,0,0,1,1,0,0,0,0,0,68,5,2,15,5
1541C,signal,57,58,0,1,0,0,1,1,1,0,0,0,0,68,5,2,15,5
1541C,signal,58,59,0,1,0,0,1,1,2,0,0,0,0,68,5,2,15,5
1541C,signal,59,60,0,1,1,1,0,0,0,0,0,0,0,68,5,2,15,5
1541C,signal,60,61,0,1,1,1,0,0,1,0,0,0,0,68,5,2,16,5
1541C,signal,61,62,0,1,1,1,0,0,2,0,0,0,0,68,5,2,16,5
1541C,signal,62,63,1,0,1,1,0,0,3,0,0,1,0,68,5,2,17,5
1541C,signal,63,64,0,1,0,0,1,1,0,0,0,0,0,68,5,2,17,5
1541C,signal,64,65,0,1,0,0,1,1,1,0,0,0,0,68,5,2,17,5
1541C,signal,65,66,0,1,0,0,1,1,2,0,0,0,0,68,5,2,17,5
1541C,signal,66,67,0,1,1,1,0,0,0,0,0,0,0,68,5,2,17,5
1541C,signal,67,68,0,1,1,1,0,0,1,0,0,0,0,68,5,2,17,5
1541C,signal,68,69,0,1,0,1,0,0,0,0,0,0,0,68,5,2,18,5
1541C,signal,69,70,0,1,1,0,0,0,0,0,0,0,0,68,5,2,18,5
1541C,signal,70,71,0,1,0,0,1,1,0,0,0,0,0,68,5,2,19,5
1541C,signal,71,72,1,0,1,1,0,0,0,0,0,1,0,68,5,2,19,5
1541II,signal,0,1,0,1,0,0,1,1,0,0,-1,0,0,0,0,0,1,0
1541II,signal,1,2,0,1,0,0,1,1,1,0,-1,0,0,0,0,0,1,0
1541II,signal,2,3,0,1,0,0,1,1,2,0,-1,0,0,0,0,0,2,1
1541II,signal,3,4,0,1,0,0,0,0,3,0,-1,0,0,0,0,0,2,1
1541II,signal,4,5,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,2,1
1541II,signal,5,6,0,1,1,1,0,0,1,0,-1,0,0,0,0,0,2,1
1541II,signal,6,7,0,1,1,1,0,0,2,0,-1,0,0,0,0,0,2,1
1541II,signal,7,8,0,1,0,0,1,1,0,0,-1,0,0,0,0,0,2,1
1541II,signal,8,9,1,0,0,1,0,0,0,0,0,1,0,67,4,0,3,5
1541II,signal,9,10,0,1,0,0,1,1,0,0,0,0,0,67,4,0,3,5
1541II,signal,10,11,0,1,1,1,0,0,0,0,0,0,0,67,4,0,4,5
1541II,signal,11,12,0,1,1,1,0,0,1,0,0,0,0,67,4,0,4,5
1541II,signal,12,13,0,1,1,1,0,0,2,0,0,0,0,67,4,0,4,5
1541II,signal,13,14,0,1,0,1,0,0,0,0,0,0,0,67,4,0,4,5
1541II,signal,14,15,0,1,0,0,1,1,0,0,0,0,0,67,4,0,4,5
1541II,signal,15,16,0,1,0,0,1,1,1,0,0,0,0,67,4,0,4,5
1541II,signal,16,17,0,1,0,0,1,1,2,0,0,0,0,67,4,0,5,5
1541II,signal,17,18,1,0,1,1,0,0,0,0,0,1,0,67,4,0,5,5
1541II,signal,18,19,2,1,0,1,0,0,0,0,0,3,0,69,4,1,5,5
1541II,signal,19,20,2,1,1,0,0,1,0,0,0,3,0,69,4,1,5,5
1541II,signal,20,21,2,1,1,0,0,1,1,0,0,3,0,69,4,1,6,5
1541II,signal,21,22,2,1,0,0,1,1,0,1,0,3,0,69,4,1,6,5
1541II,signal,22,23,2,1,0,0,1,1,1,1,0,3,0,69,4,1,7,5
1541II,signal,23,24,2,1,0,0,1,1,2,1,0,3,0,69,4,1,7,5
1541II,signal,24,25,2,1,1,0,0,1,0,0,0,3,0,69,4,1,7,5
