rev,step,tod10,serial_bits,icr,t1_underflow,rx_bytes,tx_bytes
6526,0,9,0,0,0,0,0
6526,1,9,0,144,0,0,0
6526,2,9,0,144,0,0,0
6526,3,9,0,144,0,0,0
6526,4,9,0,144,0,0,0
6526,5,9,0,144,0,0,0
6526,6,9,0,144,0,0,0
6526,7,9,0,144,0,0,0
6526,8,9,0,144,1,0,0
6526,9,9,0,145,1,0,0
6526,10,9,0,145,1,0,0
6526,11,9,0,145,1,0,0
6526,12,9,0,145,1,0,0
6526,13,9,0,145,1,0,0
6526,14,9,0,145,1,0,0
6526,15,9,0,145,1,0,0
6526,16,9,0,145,1,0,0
6526,17,9,0,145,1,0,0
6526,18,9,0,145,2,0,0
6526,19,9,0,145,2,0,0
6526,20,9,0,145,2,0,0
6526,21,9,0,145,2,0,0
6526,22,9,0,145,2,0,0
6526,23,9,0,145,2,0,0
6526,24,9,0,145,2,0,0
6526,25,9,0,145,2,0,0
6526,26,9,0,145,2,0,0
6526,27,9,0,145,2,0,0
6526,28,9,0,145,3,0,0
6526,29,9,0,145,3,0,0
6526,30,9,0,145,3,0,0
6526,31,9,0,145,3,0,0
6526,32,9,0,145,3,0,0
6526,33,9,0,145,3,0,0
6526,34,9,0,145,3,0,0
6526,35,9,0,145,3,0,0
6526,36,9,0,145,3,0,0
6526,37,9,0,145,3,0,0
6526,38,9,0,145,4,0,0
6526,39,9,0,145,4,0,0
6526,40,9,0,145,4,0,0
6526,41,9,0,145,4,0,0
6526,42,9,0,145,4,0,0
6526,43,9,0,145,4,0,0
6526,44,9,0,145,4,0,0
6526,45,9,0,145,4,0,0
6526,46,9,0,145,4,0,0
6526,47,9,0,145,4,0,0
6526,48,9,0,145,5,0,0
6526,49,9,0,145,5,0,0
6526,50,9,0,145,5,0,0
6526,51,9,0,145,5,0,0
6526,52,9,0,145,5,0,0
6526,53,9,0,145,5,0,0
6526,54,9,0,145,5,0,0
6526,55,9,0,145,5,0,0
6526,56,9,0,145,5,0,0
6526,57,9,0,145,5,0,0
6526,58,9,0,145,6,0,0
6526,59,9,0,145,6,0,0
6526,60,9,0,145,6,0,0
6526,61,9,0,145,6,0,0
6526,62,9,0,145,6,0,0
6526,63,9,0,145,6,0,0
6526,64,9,0,145,6,0,0
6526,65,9,0,145,6,0,0
6526,66,9,0,145,6,0,0
6526,67,9,0,145,6,0,0
6526,68,9,0,145,7,0,0
6526,69,9,0,145,7,0,0
6526,70,9,0,145,7,0,0
6526,71,9,0,145,7,0,0
6526,72,9,0,145,7,0,0
6526,73,9,0,145,7,0,0
6526,74,9,0,145,7,0,0
6526,75,9,0,145,7,0,0
6526,76,9,0,145,7,0,0
6526,77,9,0,145,7,0,0
6526,78,9,0,145,8,0,0
6526,79,9,0,145,8,0,0
6526,80,9,0,145,8,0,0
6526,81,9,0,145,8,0,0
6526,82,9,0,145,8,0,0
6526,83,9,0,145,8,0,0
6526,84,9,0,145,8,0,0
6526,85,9,0,145,8,0,0
6526,86,9,0,145,8,0,0
6526,87,9,0,145,8,0,0
6526,88,9,0,145,9,0,0
6526,89,9,0,145,9,0,0
6526,90,9,0,145,9,0,0
6526,91,9,0,145,9,0,0
6526,92,9,0,145,9,0,0
6526,93,9,0,145,9,0,0
6526,94,9,0,145,9,0,0
6526,95,9,0,145,9,0,0
6526,96,9,0,145,9,0,0
6526,97,9,0,145,9,0,0
6526,98,9,0,145,10,0,0
6526,99,9,0,145,10,0,0
6526,100,9,0,145,10,0,0
6526,101,9,0,145,10,0,0
6526,102,9,0,145,10,0,0
6526,103,9,0,145,10,0,0
6526,104,9,0,145,10,0,0
6526,105,9,0,145,10,0,0
6526,106,9,0,145,10,0,0
6526,107,9,0,145,10,0,0
6526,108,9,0,145,11,0,0
6526,109,9,0,145,11,0,0
6526,110,9,0,145,11,0,0
6526,111,9,0,145,11,0,0
6526,112,9,0,145,11,0,0
6526,113,9,0,145,11,0,0
6526,114,9,0,145,11,0,0
6526,115,9,0,145,11,0,0
6526,116,9,0,145,11,0,0
6526,117,9,0,145,11,0,0
6526,118,9,0,145,12,0,0
6526,119,9,0,145,12,0,0
6526,120,9,0,145,12,0,0
6526,121,9,0,145,12,0,0
6526,122,9,0,145,12,0,0
6526,123,9,0,145,12,0,0
