rev,phase,rotation_tick,track,sector,write_burst,rotation_drift,checksum_seed,write_commit_ok,read_verify_ok,write_verify_fail,retry_depth,w71_raw_roundtrip_ok_rows,w71_write_verify_fail_rows,w71_postwrite_retry_max
1541II,write_roundtrip,277,19,9,4,1,32,1,1,0,1,18,0,1
1541II,write_roundtrip,294,19,12,7,1,82,1,1,0,1,19,0,1
1541II,write_roundtrip,310,19,15,6,1,104,1,1,0,1,20,0,1
1541II,write_roundtrip,325,19,18,5,1,98,1,1,0,1,21,0,1
1541II,write_roundtrip,340,20,0,4,2,24,1,1,0,1,22,0,1
1541II,write_roundtrip,358,20,3,7,2,20,1,1,0,1,23,0,1
1541II,write_roundtrip,375,20,6,6,2,44,1,1,0,1,24,0,1
1541II,write_roundtrip,391,20,9,5,2,36,1,1,0,1,25,0,1
1541II,write_roundtrip,406,20,12,4,2,76,1,1,0,1,26,0,1
1541II,write_roundtrip,424,20,15,7,2,104,1,1,0,1,27,0,1
