phase,cycle,pixel,op,bus_window,fetch,tick_actions,predicate_mask,fetch_plan,commit_plan,addr_formula0,addr_formula1
PHI1,9,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,9,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,9,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,9,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,9,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,9,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,9,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,9,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,10,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,10,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,10,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,10,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,10,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,10,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,10,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,10,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,11,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,11,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,11,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,11,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,11,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,11,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,11,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,11,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,12,0,SPRITE,0,SPRITE_PTR,1,3,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,12,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
