rev,phase,step,op_ok,listening,listen_sa,cmd_buf_len,cmd_dispatch,data_dispatch,syntax_err,mem_0400,status
1541,baseline,0,1,0,255,0,0,0,0,0,00,OK,00,00
1541,listen_a,1,1,1,0,0,1,0,0,0,00,OK,00,00
1541,sa15_a,2,1,1,15,0,2,0,0,0,00,OK,00,00
1541,data_buffered_a,3,1,1,15,17,2,17,0,0,00,OK,00,00
1541,close15_drop,4,1,1,15,0,3,17,0,0,00,OK,00,00
1541,unlisten_after_close,5,1,0,255,0,4,17,0,0,00,OK,00,00
1541,listen_b,6,1,1,0,0,5,17,0,0,00,OK,00,00
1541,sa15_b,7,1,1,15,0,6,17,0,0,00,OK,00,00
1541,data_buffered_b,8,1,1,15,17,6,34,0,0,00,OK,00,00
1541,unlisten_execute,9,1,0,255,0,7,34,0,171,00,OK,00,00
1541C,baseline,0,1,0,255,0,0,0,0,0,00,OK,00,00
1541C,listen_a,1,1,1,0,0,1,0,0,0,00,OK,00,00
1541C,sa15_a,2,1,1,15,0,2,0,0,0,00,OK,00,00
1541C,data_buffered_a,3,1,1,15,17,2,17,0,0,00,OK,00,00
1541C,close15_drop,4,1,1,15,0,3,17,0,0,00,OK,00,00
1541C,unlisten_after_close,5,1,0,255,0,4,17,0,0,00,OK,00,00
1541C,listen_b,6,1,1,0,0,5,17,0,0,00,OK,00,00
1541C,sa15_b,7,1,1,15,0,6,17,0,0,00,OK,00,00
1541C,data_buffered_b,8,1,1,15,17,6,34,0,0,00,OK,00,00
1541C,unlisten_execute,9,1,0,255,0,7,34,0,171,00,OK,00,00
1541II,baseline,0,1,0,255,0,0,0,0,0,00,OK,00,00
1541II,listen_a,1,1,1,0,0,1,0,0,0,00,OK,00,00
1541II,sa15_a,2,1,1,15,0,2,0,0,0,00,OK,00,00
1541II,data_buffered_a,3,1,1,15,17,2,17,0,0,00,OK,00,00
1541II,close15_drop,4,1,1,15,0,3,17,0,0,00,OK,00,00
1541II,unlisten_after_close,5,1,0,255,0,4,17,0,0,00,OK,00,00
1541II,listen_b,6,1,1,0,0,5,17,0,0,00,OK,00,00
1541II,sa15_b,7,1,1,15,0,6,17,0,0,00,OK,00,00
1541II,data_buffered_b,8,1,1,15,17,6,34,0,0,00,OK,00,00
1541II,unlisten_execute,9,1,0,255,0,7,34,0,171,00,OK,00,00
