rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,via_access,iec_edge_count,pending_via_to_iec_latency,last_via_to_iec_latency,phase_bucket,iec_state,atn,clk,data,pull_clk,pull_data,pending_rx,pending_tx,rx_processed,tx_served,cpu_advanced,cadence_gap_max
1541C,phase_map,51,52,14,49162,32,0,0,-1,0,2,3,1,1,1,0,0,0,66,4,3,0,5
1541C,phase_map,52,53,14,49162,32,0,0,-1,0,2,3,1,1,1,0,0,0,66,4,3,0,5
1541C,phase_map,53,54,14,49162,32,0,2,-1,0,2,3,1,0,0,0,0,0,66,4,3,0,5
1541C,phase_map,54,55,14,49162,32,1,4,-1,0,2,3,1,1,1,1,1,0,66,4,3,0,5
1541C,phase_map,55,56,14,49162,32,3,3,-1,0,1,1,0,1,1,0,0,0,66,4,3,0,5
1541C,phase_map,56,57,15,49164,162,2,1,-1,0,2,3,1,1,1,0,0,0,66,4,3,1,5
1541C,phase_map,57,58,15,49164,162,0,1,-1,0,2,3,1,1,0,0,0,0,66,4,3,0,5
1541C,phase_map,58,59,16,49157,96,0,3,-1,0,2,3,1,0,1,0,1,0,65,4,4,1,5
1541C,phase_map,59,60,16,49157,96,0,1,-1,0,2,3,1,1,1,0,1,0,65,4,4,0,5
1541C,phase_map,60,61,16,49157,96,1,1,-1,0,2,3,1,1,1,1,1,0,65,4,4,0,5
1541C,phase_map,61,62,16,49157,96,0,1,-1,0,2,3,1,1,0,1,1,0,65,4,4,0,5
1541C,phase_map,62,63,16,49157,96,2,2,-1,0,2,3,1,1,1,0,1,0,65,4,4,0,5
1541C,phase_map,63,64,16,49157,96,0,3,-1,0,1,1,0,0,1,0,0,0,65,4,4,0,5
1541II,phase_map,0,1,1,49154,169,1,2,-1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
1541II,phase_map,1,2,1,49154,169,0,1,-1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
1541II,phase_map,2,3,2,49162,32,2,3,-1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1541II,phase_map,3,4,2,49162,32,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1541II,phase_map,4,5,2,49162,32,0,1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
1541II,phase_map,5,6,2,49162,32,3,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1541II,phase_map,6,7,2,49162,32,1,3,-1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
1541II,phase_map,7,8,2,49162,32,0,3,-1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
1541II,phase_map,8,9,3,49164,162,2,2,-1,0,3,2,1,0,1,0,0,0,0,3,0,1,5
1541II,phase_map,9,10,3,49164,162,0,2,-1,0,0,0,1,1,0,0,0,0,67,4,0,0,5
1541II,phase_map,10,11,4,49157,96,0,1,-1,0,0,0,1,1,1,0,0,0,67,4,0,1,5
1541II,phase_map,11,12,4,49157,96,0,0,-1,0,0,0,1,1,1,0,0,0,67,4,0,0,5
1541II,phase_map,12,13,4,49157,96,1,2,-1,0,0,0,1,1,1,1,1,0,67,4,0,0,5
