rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via_irq_or,eoi_pending,eoi_wait_ticks,eoi_timeout_count,tx_timeout_count,rx_timeout_count,iec_state,iec_pull_clk,iec_pull_data,pending_tx,status_code,cadence_gap_max
1541C,timeout,13,14,5,49158,96,0,1,0,0,0,0,0,1,0,0,0,0,5
1541C,timeout,14,15,5,49158,96,0,1,0,0,0,0,0,0,0,0,0,0,5
1541C,timeout,15,16,5,49158,96,0,1,0,0,0,0,0,0,0,0,0,0,5
1541C,timeout,16,17,5,49158,96,0,1,1,251,0,0,0,4,1,1,0,0,5
1541C,timeout,17,18,5,49158,96,0,1,1,252,0,0,0,4,1,1,0,0,5
1541C,timeout,18,19,6,49161,208,1,1,1,253,0,0,0,4,1,1,0,0,5
1541C,timeout,19,20,6,49161,208,0,1,1,254,0,0,0,4,1,1,0,0,5
1541C,timeout,20,21,6,49161,208,0,1,1,255,0,0,0,4,0,0,0,0,5
1541C,timeout,21,22,6,49161,208,0,1,1,256,0,0,0,4,0,0,0,0,5
1541C,timeout,22,23,7,49162,0,1,1,0,0,1,0,0,4,0,0,0,74,5
1541C,timeout,23,24,7,49162,0,0,1,0,0,1,0,0,3,0,0,0,74,5
1541C,timeout,24,25,8,49164,162,1,1,0,0,1,0,0,3,1,1,0,74,5
1541C,timeout,25,26,8,49164,162,0,1,0,0,1,0,0,3,1,1,0,74,5
1541C,timeout,26,27,9,49152,96,1,1,0,0,1,0,0,3,1,1,0,74,5
1541C,timeout,27,28,9,49152,96,0,1,0,0,1,0,0,3,1,1,0,74,5
1541C,timeout,28,29,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541C,timeout,29,30,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541C,timeout,30,31,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541C,timeout,31,32,9,49152,96,0,1,0,0,1,0,0,3,0,0,0,74,5
1541C,timeout,32,33,10,49153,88,1,1,0,0,1,1,0,3,1,1,0,74,5
1541C,timeout,33,34,10,49153,88,0,1,0,0,1,1,0,3,1,1,0,74,5
1541C,timeout,34,35,11,49155,169,1,1,0,0,1,1,0,1,0,0,0,74,5
1541C,timeout,35,36,11,49155,169,0,1,0,0,1,1,0,3,1,1,0,74,5
1541C,timeout,36,37,12,49162,32,1,1,0,0,1,1,0,3,0,0,0,74,5
1541C,timeout,37,38,12,49162,32,0,1,0,0,1,1,0,3,0,0,0,74,5
1541C,timeout,38,39,12,49162,32,0,1,0,0,1,1,0,3,0,0,0,74,5
1541C,timeout,39,40,12,49162,32,0,1,0,0,1,1,0,3,0,0,0,74,5
1541C,timeout,40,41,12,49162,32,0,1,0,0,1,1,0,2,1,1,0,74,5
1541C,timeout,41,42,12,49162,32,0,1,0,0,1,1,0,2,1,1,0,74,5
