case,step,val,openbus,last_data,idle_reads,port_data,port_dir,flat
io_ram_read,0,60,60,60,0,0,7,0
openbus_decay,1,0,0,0,0,0,7,0
openbus_decay,2,0,0,0,0,0,7,0
openbus_decay,3,0,0,0,0,0,7,0
openbus_decay,4,0,0,0,0,0,7,0
openbus_decay,5,0,0,0,0,0,7,0
openbus_decay,6,0,0,0,0,0,7,0
openbus_decay,7,0,0,0,0,0,7,0
openbus_decay,8,0,0,0,0,0,7,0
bank_rom,9,186,186,186,0,7,7,0
bank_ram,10,17,17,17,0,0,7,0
flat_mode,11,165,165,165,0,0,7,1
aec_hold,0,4,1,1,255,0,0,0
aec_release,1,3,1,0,0,0,0,0
