step,aec_high,ba_high,rdy_low,dd00_hex,dd00_edge,dd00_gap,dd00_jitter_max,aec_low_windows,rdy_low_pulses,dd00_edge_count,total_halfcycles
106,1,0,1,9D,0,8,4,10,9,16,107
107,1,1,0,9D,0,8,4,10,9,16,108
108,1,1,0,9D,0,8,4,10,9,16,109
109,1,1,0,9D,0,8,4,10,9,16,110
110,1,1,0,6B,1,5,4,10,9,17,111
111,1,1,0,6B,0,5,4,10,9,17,112
112,0,1,0,6B,0,5,4,11,9,17,113
113,0,1,0,6B,0,5,4,11,9,17,114
114,0,1,0,6B,0,5,4,11,9,17,115
115,1,1,0,6B,0,5,4,11,9,17,116
116,1,1,0,6B,0,5,4,11,9,17,117
117,1,1,0,6B,0,5,4,11,9,17,118
118,1,1,0,6B,0,5,4,11,9,17,119
119,1,1,0,A6,1,9,4,11,9,18,120
120,1,1,0,A6,0,9,4,11,9,18,121
121,1,1,0,A6,0,9,4,11,9,18,122
122,1,1,0,A6,0,9,4,11,9,18,123
123,1,1,0,A6,0,9,4,11,9,18,124
124,1,1,0,5D,1,5,4,11,9,19,125
125,1,1,0,5D,0,5,4,11,9,19,126
126,1,0,1,5D,0,5,4,11,10,19,127
127,0,0,1,5D,0,5,4,12,10,19,128
128,0,1,0,5D,0,5,4,12,10,19,129
129,0,1,0,5D,0,5,4,12,10,19,130
130,0,0,1,5D,0,5,4,12,11,19,131
131,1,1,0,CA,1,7,4,12,11,20,132
132,1,1,0,CA,0,7,4,12,11,20,133
133,1,1,0,CA,0,7,4,12,11,20,134
134,1,1,0,CA,0,7,4,12,11,20,135
135,1,1,0,CA,0,7,4,12,11,20,136
136,1,1,0,CA,0,7,4,12,11,20,137
137,1,1,0,A5,1,6,4,12,11,21,138
138,1,1,0,A5,0,6,4,12,11,21,139
139,1,1,0,A5,0,6,4,12,11,21,140
140,1,1,0,A5,0,6,4,12,11,21,141
141,1,1,0,A5,0,6,4,12,11,21,142
142,1,1,0,A5,0,6,4,12,11,21,143
143,1,1,0,A5,0,6,4,12,11,21,144
144,0,1,0,A5,0,6,4,13,11,21,145
145,0,1,0,7B,1,8,4,13,11,22,146
146,0,1,0,7B,0,8,4,13,11,22,147
147,1,0,1,7B,0,8,4,13,12,22,148
148,1,0,1,7B,0,8,4,13,12,22,149
149,1,1,0,7B,0,8,4,13,12,22,150
150,1,1,0,A6,1,5,4,13,12,23,151
151,1,1,0,A6,0,5,4,13,12,23,152
152,1,1,0,A6,0,5,4,13,12,23,153
153,1,1,0,A6,0,5,4,13,12,23,154
154,1,1,0,A6,0,5,4,13,12,23,155
155,1,1,0,A6,0,5,4,13,12,23,156
156,0,1,0,A6,0,5,4,14,12,23,157
157,1,1,0,A6,0,5,4,14,12,23,158
158,1,1,0,A6,0,5,4,14,12,23,159
159,1,1,0,3D,1,9,4,14,12,24,160
160,0,1,0,3D,0,9,4,15,12,24,161
161,0,1,0,3D,0,9,4,15,12,24,162
162,0,1,0,3D,0,9,4,15,12,24,163
163,1,1,0,3D,0,9,4,15,12,24,164
164,1,1,0,6A,1,5,4,15,12,25,165
165,1,1,0,6A,0,5,4,15,12,25,166
166,1,1,0,6A,0,5,4,15,12,25,167
167,1,0,1,6A,0,5,4,15,13,25,168
168,1,0,1,6A,0,5,4,15,13,25,169
169,1,0,1,6A,0,5,4,15,13,25,170
170,1,1,0,6A,0,5,4,15,13,25,171
171,1,1,0,A4,1,7,4,15,13,26,172
172,1,1,0,A4,0,7,4,15,13,26,173
173,1,1,0,A4,0,7,4,15,13,26,174
174,1,1,0,A4,0,7,4,15,13,26,175
175,1,1,0,A4,0,7,4,15,13,26,176
176,0,1,0,A4,0,7,4,16,13,26,177
177,0,1,0,79,1,6,4,16,13,27,178
178,0,1,0,79,0,6,4,16,13,27,179
179,1,1,0,79,0,6,4,16,13,27,180
180,1,1,0,79,0,6,4,16,13,27,181
181,1,1,0,79,0,6,4,16,13,27,182
182,1,1,0,79,0,6,4,16,13,27,183
183,1,1,0,79,0,6,4,16,13,27,184
184,1,1,0,79,0,6,4,16,13,27,185
185,0,1,0,C2,1,8,4,17,13,28,186
186,1,1,0,C2,0,8,4,17,13,28,187
187,1,1,0,C2,0,8,4,17,13,28,188
188,1,1,0,C2,0,8,4,17,13,28,189
189,1,0,1,C2,0,8,4,17,14,28,190
190,1,0,1,D5,1,5,4,17,14,29,191
191,1,1,0,D5,0,5,4,17,14,29,192
