"title_id","format","flux_path","metadata_path","oracle_path","pass","issues"
"l5_archive_billbudgepinballconstructionsetcommodore64_sideA_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_billbudgepinballconstructionsetcommodore64_sideA_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_billbudgepinballconstructionsetcommodore64_sideA_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_billbudgepinballconstructionsetcommodore64_sideA.oracle.json","1","ok"
"l5_archive_billbudgepinballconstructionsetcommodore64_sideA_cap02","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_billbudgepinballconstructionsetcommodore64_sideA_gw_cap02_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_billbudgepinballconstructionsetcommodore64_sideA_cap02.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_billbudgepinballconstructionsetcommodore64_sideA.oracle.json","1","ok"
"l5_archive_transylvania_c_64_atari_sideA_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_transylvania_c_64_atari_sideA_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_transylvania_c_64_atari_sideA_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_transylvania_c_64_atari_sideA.oracle.json","1","ok"
"l5_archive_transylvania_c_64_atari_sideB_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_transylvania_c_64_atari_sideB_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_transylvania_c_64_atari_sideB_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_transylvania_c_64_atari_sideB.oracle.json","1","ok"
"l5_archive_kane_human_race_sideA_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_kane_human_race_sideA_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_kane_human_race_sideA_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_kane_human_race_sideA.oracle.json","1","ok"
"l5_archive_kane_human_race_sideB_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_kane_human_race_sideB_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_kane_human_race_sideB_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_kane_human_race_sideB.oracle.json","1","ok"
"l5_archive_aztec_challenge_c64_sideA_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_aztec_challenge_c64_sideA_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_aztec_challenge_c64_sideA_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_aztec_challenge_c64_sideA.oracle.json","1","ok"
"l5_archive_aztec_challenge_c64_sideB_cap01","raw","C:\dev\Jemu64\datasets\level5\raw_flux\l5_archive_aztec_challenge_c64_sideB_gw_cap01_25000000hz.raw","C:\dev\Jemu64\datasets\level5\metadata\l5_archive_aztec_challenge_c64_sideB_cap01.metadata.json","C:\dev\Jemu64\datasets\level5\oracles\l5_archive_aztec_challenge_c64_sideB.oracle.json","1","ok"
