"run","profile","attempts","power_matrix_ok","warmup_ok","pass","issue"
"1","fast","1","1","1","1","ok"
"2","fast","1","1","1","1","ok"
"3","fast","1","1","1","1","ok"
"4","fast","1","1","1","1","ok"
"5","fast","1","1","1","1","ok"
"6","fast","1","1","1","1","ok"
"7","fast","1","1","1","1","ok"
"8","fast","1","1","1","1","ok"
